#bitsize(pq) p q pq std
18 431 463 199553 0.0003700342507429515
18 431 571 246101 0.013357334361801103
18 433 463 200479 0.013221227789339632
18 433 509 220397 0.006551745147805725
18 439 479 210281 0.0003778672471275436
18 443 521 230803 0.0002594272401539995
18 449 487 218663 0.006757664020150758
18 449 569 255481 0.013195832870470634
18 461 487 224507 7.899521343566051e-05
18 467 523 244241 4.9664765625798096e-05
18 467 541 252647 0.0127493926851527
18 487 523 254701 0.03315362870716929
18 499 523 260977 0.0002289315364162481
19 263 997 262211 0.00043135992584739086
19 277 977 270629 0.013232783794238817
19 307 919 282133 0.01596337650138551
19 313 859 268867 0.0002848357278829771
19 313 877 274501 0.0004205119943197855
