#bitsize(pq) p q pq min
18 281 631 177311 0.06428190501173958
18 281 727 204287 0.06416212499607354
18 283 691 195553 0.06420063599944115
18 283 739 209137 0.06412322196410969
18 283 797 225551 0.06411877297796309
18 283 827 234041 0.06446536403382197
18 293 521 152653 0.06437474902486429
18 293 523 153239 0.06412041001021862
18 293 593 173749 0.06415840797126293
18 293 877 256961 0.06523649400332943
18 307 607 186349 0.06410939997294918
18 307 653 200471 0.06476860301336274
18 307 839 257573 0.06412235903553665
18 307 853 261871 0.06481915898621082
18 311 433 134663 0.06483984395163134
18 311 439 136529 0.06438312702812254
18 311 491 152701 0.06428240897366777
18 311 757 235427 0.06419831700623035
18 311 811 252221 0.06413538299966604
18 313 659 206267 0.06411885196575895
18 313 733 229429 0.0641916649765335
18 317 433 137261 0.06435874500311911
18 317 479 151843 0.06436083099106327
18 317 547 173399 0.06423277402063832
18 317 683 216511 0.06434297299711034
18 317 727 230459 0.06472087005386129
18 317 769 243773 0.06535581697244197
18 317 811 257087 0.0642224489711225
18 331 499 165169 0.06433788000140339
18 331 619 204889 0.06418020400451496
18 331 701 232031 0.0643248469568789
18 337 419 141203 0.06452640698989853
18 337 443 149291 0.06440171098802239
18 337 599 201863 0.06417608499759808
18 337 709 238933 0.06434458098374307
18 337 733 247021 0.06456257298123091
18 337 773 260501 0.0648650350049138
18 347 419 145393 0.06441793200792745
18 347 571 198137 0.06424660404445603
18 347 683 237001 0.06429245200706646
18 349 379 132271 0.06503979297121987
18 359 617 221503 0.06456312100635841
18 359 659 236581 0.06437916803406551
18 367 643 235981 0.06491865299176425
18 367 683 250661 0.06422720599221066
18 373 389 145097 0.03200892795575783
18 373 683 254759 0.06414053897606209
18 379 389 147431 0.06417066999711096
18 379 397 150463 0.06434996397001669
18 379 439 166381 0.06464589200913906
18 383 421 161243 0.06528526498004794
18 383 457 175031 0.0641399190062657
18 389 521 202669 0.06450546800624579
18 397 571 226687 0.06419908697716892
18 397 617 244949 0.0643325459677726
18 401 467 187267 0.06434534798609093
18 401 569 228169 0.0644253509817645
18 409 523 213907 0.06433490599738434
18 409 571 233539 0.06417879002401605
18 419 461 193159 0.06451730901608244
18 421 509 214289 0.06439187895739451
18 421 523 220183 0.06474327202886343
18 421 619 260599 0.06435894296737388
18 431 463 199553 0.06540105602471158
18 431 571 246101 0.06535885098855942
18 433 463 200479 0.06467609002720565
18 433 509 220397 0.0644802949973382
18 439 479 210281 0.06444707204354927
18 443 521 230803 0.06436581601155922
18 449 487 218663 0.06528950401116163
18 449 569 255481 0.06421276403125376
18 461 487 224507 0.06548536499030888
18 467 523 244241 0.06414020695956424
18 467 541 252647 0.06455730804009363
18 487 523 254701 0.06498499400913715
18 499 523 260977 0.06427191395778209
19 263 997 262211 0.06433200696483254
19 277 977 270629 0.06437872000969946
19 307 919 282133 0.06415528402430937
19 313 859 268867 0.06411365501116961
19 313 877 274501 0.06416703696595505
19 317 941 298297 0.06421743403188884
19 317 977 309709 0.06428023101761937
19 317 997 316049 0.06432446697726846
19 331 997 330007 0.06424474401865155
19 337 947 319139 0.06476203200872988
19 349 1019 355631 0.06536287703784183
19 353 773 272869 0.06439337000483647
19 353 857 302521 0.06491127598565072
19 353 983 346999 0.06425032601691782
19 373 821 306233 0.0641133250319399
19 379 701 265679 0.06417138798860833
19 383 929 355807 0.06416960502974689
19 383 1019 390277 0.06420617399271578
19 397 991 393427 0.06446038803551346
19 401 673 269873 0.06430484500015154
19 401 719 288319 0.06430238101165742
19 401 853 342053 0.06420292000984773
19 401 877 351677 0.06433484400622547
19 401 881 353281 0.06501579598989338
19 409 743 303887 0.06431245000567287
19 409 857 350513 0.06482178898295388
19 409 881 360329 0.06450367800425738
19 419 647 271093 0.06416511803399771
19 419 661 276959 0.06442088598851115
19 419 673 281987 0.06420033297035843
19 421 769 323749 0.0642548690084368
19 421 797 335537 0.06417135504307225
19 431 809 348679 0.06434993096627295
19 433 619 268027 0.06524579902179539
19 443 821 363703 0.0654918429790996
19 443 941 416863 0.06412594096036628
